"label","run_id","fill","cost","concurrency","buy_sol","n_fired","n_closed","n_open","win_rate","total_pnl_sol","expectancy_sol","median_pnl_pct","mean_pnl_pct","p90_pnl_pct","worst_pnl_pct","profit_factor","median_hold_s","avg_hold_s","n_exit_metrics","n_exit_stop_loss","n_exit_dead","elapsed_s","since","until"
"X0 unarmed r3 sl25 (today)","ad12419e-d206-437e-b2b6-7a7f02ca9c82","first","pumpfun_fee_only","4","1","496","496","0","0.2964","-8.9614","-0.01807","-2.205","-1.807","5.111","-82.305","0.4362","2.0","2.92","495","1","0","421.2","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"X1 unarmed r5 sl12","ec58e61b-86b8-4613-9dc0-0d9478be3f79","first","pumpfun_fee_only","4","1","480","480","0","0.3125","-8.4126","-0.01753","-2.117","-1.753","6.170","-82.305","0.4934","3.0","3.60","478","2","0","391.8","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"X2 armed g0 r3 sl12","59d71f4f-78f8-4319-95c0-e00f29445e8f","first","pumpfun_fee_only","4","1","456","456","0","0.3618","-8.0693","-0.01770","-1.549","-1.770","6.598","-82.305","0.5108","4.0","4.20","410","46","0","340.7","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"X3 armed g2 r4 sl12","5048628b-e433-4fe1-8a40-a24d5bf45f9d","first","pumpfun_fee_only","4","1","445","445","0","0.3798","-8.3820","-0.01884","-1.630","-1.884","7.271","-82.532","0.5223","4.0","4.75","390","55","0","330.7","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"X4 armed g5 r5 sl12","bd91a71d-2b45-4c00-a23b-9e218772d545","first","pumpfun_fee_only","4","1","441","441","0","0.3787","-8.3851","-0.01901","-1.630","-1.901","7.348","-82.532","0.5337","5.0","5.09","384","57","0","340.8","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"X5 armed g2 r4 one-shot","f90f5148-072c-43ee-9d46-7e153e76716a","first","pumpfun_fee_only","4","1","283","283","0","0.3993","-5.2979","-0.01872","-1.568","-1.872","6.997","-82.532","0.5379","4.0","4.72","247","36","0","310.8","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"X6 armed g2 r4 WORST fill","0b1d479a-6a5f-4311-8744-b9a4083a908b","worst","pumpfun_fee_only","4","1","442","442","0","0.3032","-19.7057","-0.04458","-2.205","-4.458","5.404","-90.991","0.2495","4.0","4.87","379","63","0","350.7","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"X7 armed g2 r4 no 2s gate","898c1839-9a9d-4b8c-a36c-22722d453123","first","pumpfun_fee_only","4","1","727","727","0","0.4292","-17.1464","-0.02359","-1.244","-2.359","8.654","-87.932","0.5350","5.0","5.34","590","137","0","330.7","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"R1 armed g2 r4 stall OFF","51399659-3775-4a73-8744-554bc8a5ff54","first","pumpfun_fee_only","4","1","167","163","4","0.5521","-3.1017","-0.01903","0.672","-1.903","13.659","-58.530","0.7108","14.0","22.15","106","57","0","350.8","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"R2 armed g2 r4 stall 60","5b49ed30-ab23-4425-8ad3-48e94b1d83a1","first","pumpfun_fee_only","4","1","987","987","0","0.5370","-9.7918","-0.00992","0.527","-0.992","14.469","-82.532","0.8184","14.0","18.37","732","255","0","350.7","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
